"Date","Open","High","Low","Close","VWAP","Volume","% Chg","$ Chg","Trade Val","# Trades"
"2025-10-29","688.72","689.70","682.87","687.39","687.16","85,362,207","0.05%","0.33","59,225,544,218","1,044,905"
"2025-10-28","687.05","688.91","684.83","687.06","686.91","61,738,073","0.27%","1.82","42,400,915,522","759,683"
"2025-10-27","682.73","685.54","682.12","685.24","274.85","63,339,790","1.18%","7.99","24,894,068,773","811,764"
"2025-10-24","676.46","678.47","675.65","677.25","677.49","74,356,527","0.82%","5.49","50,313,023,913","762,631"
"2025-10-23","668.12","672.71","667.80","671.76","670.91","65,604,461","0.59%","3.96","44,005,300,468","767,074"
"2025-10-22","672.00","672.00","663.30","667.80","667.60","80,564,006","-0.52%","-3.49","16,915,902,080","963,664"
"2025-10-21","671.44","672.99","669.98","671.29","671.72","56,249,034","-0.00%","-0.01","37,867,780,599","831,027"
"2025-10-20","667.32","672.21","667.27","671.30","670.74","60,493,350","1.04%","6.91","22,107,658,435","858,136"
"2025-10-17","659.50","665.76","658.14","664.39","662.23","96,500,870","0.57%","3.75","8,891,878,614","1,156,225"
"2025-10-16","666.82","668.71","657.11","660.64","662.57","110,563,346","-0.68%","-4.53","36,365,715,720","1,443,495"
"2025-10-15","666.82","670.23","658.93","665.17","665.25","81,702,555","0.44%","2.94","17,470,688,412","1,067,029"
"2025-10-14","657.17","665.83","653.17","662.23","661.08","88,779,560","-0.12%","-0.81","58,688,311,230","1,177,813"
"2025-10-13","660.65","665.13","659.77","663.04","662.36","79,560,517","1.53%","10.02","52,684,298,323","1,125,904"
"2025-10-10","672.13","673.95","652.84","653.02","661.47","159,422,589","-2.70%","-18.14","32,787,107,456","1,778,642"
"2025-10-09","673.53","673.94","669.21","671.16","671.03","66,501,941","-0.29%","-1.95","7,732,817,501","802,892"
"2025-10-08","670.25","673.21","669.42","673.11","672.14","60,702,241","0.60%","3.99","40,799,554,176","747,746"
"2025-10-07","672.54","672.99","667.67","669.12","669.59","72,020,067","-0.37%","-2.49","11,335,626,841","947,298"
"2025-10-06","671.62","672.51","669.46","671.61","671.33","54,623,260","0.36%","2.40","36,676,896,467","873,511"
"2025-10-03","669.99","672.68","668.16","669.21","670.43","70,494,350","-0.00%","-0.01","47,255,573,882","895,362"
"2025-10-02","670.45","670.57","666.78","669.22","668.87","56,895,993","0.12%","0.77","38,138,977,869","743,853"
"2025-10-01","663.17","669.37","663.06","668.45","666.92","72,545,369","0.34%","2.27","11,486,471,389","974,352"
"2025-09-30","662.93","666.65","661.61","666.18","356.30","86,288,028","0.38%","2.50","44,436,042,014","772,128"
"2025-09-29","664.36","665.28","661.86","663.68","663.53","73,499,015","0.28%","1.86","48,758,798,375","763,840"
"2025-09-26","659.51","662.37","657.88","661.82","660.66","69,179,209","0.57%","3.77","27,253,063,062","769,913"
"2025-09-25","657.94","659.41","654.41","658.05","657.36","89,622,067","-0.46%","-3.05","58,933,103,030","935,971"
"2025-09-24","664.51","664.61","659.67","661.10","661.60","68,082,229","-0.32%","-2.11","8,149,775,902","807,615"
"2025-09-23","666.72","667.34","661.98","663.21","664.41","81,708,872","-0.54%","-3.63","54,288,123,448","896,650"
"2025-09-22","662.20","667.29","662.17","666.84","665.50","69,452,201","0.47%","3.14","46,218,591,062","795,556"
"2025-09-19","662.33","664.55","660.37","663.70","662.73","97,945,620","0.50%","3.2711","66,215,537,036","842,340"
"2025-09-18","660.06","663.05","658.44","660.43","660.99","90,459,242","0.47%","3.0715","59,939,877,854","951,839"
"2025-09-17","658.19","659.89","652.49","657.36","657.09","101,952,244","-0.12%","-0.817733","30,292,126,262","1,070,035"
"2025-09-16","659.64","659.95","657.39","658.18","658.37","61,168,953","-0.14%","-0.907484","40,384,683,113","755,517"
"2025-09-15","657.82","659.21","657.52","659.08","658.49","63,772,412","0.53%","3.4903","42,107,564,667","771,640"
