Date,Open,High,Low,Close,VWAP,Volume,Return,$ Chg,Trade Val,# Trades,
2025-10-01,--,--,--,55.96,--,--,0.49%,0.27,--,--,
2025-09-30,--,--,--,55.69,--,--,0.29%,0.16,--,--,
2025-09-29,--,--,--,55.53,--,--,0.42%,0.23,--,--,
2025-09-26,--,--,--,55.3,--,--,0.42%,0.23,--,--,
2025-09-25,--,--,--,55.07,--,--,-0.43%,-0.24,--,--,
2025-09-24,--,--,--,55.31,--,--,-0.29%,-0.16,--,--,
2025-09-23,--,--,--,55.47,--,--,-0.73%,-0.41,--,--,
2025-09-22,--,--,--,55.88,--,--,0.56%,0.31,--,--,
2025-09-19,--,--,--,55.57,--,--,0.69%,0.38,--,--,
2025-09-18,--,--,--,55.19,--,--,0.95%,0.52,--,--,
2025-09-17,--,--,--,54.67,--,--,-0.20%,-0.11,--,--,
2025-09-16,--,--,--,54.78,--,--,-0.09%,-0.05,--,--,
2025-09-15,--,--,--,54.83,--,--,0.81%,0.44,--,--,
2025-09-12,--,--,--,54.39,--,--,0.41%,0.22,--,--,
2025-09-11,--,--,--,54.17,--,--,0.59%,0.32,--,--,
2025-09-10,--,--,--,53.85,--,--,0.04%,0.02,--,--,
2025-09-09,--,--,--,53.83,--,--,0.32%,0.17,--,--,
2025-09-08,--,--,--,53.66,--,--,0.45%,0.24,--,--,
2025-09-05,--,--,--,53.42,--,--,0.09%,0.05,--,--,
2025-09-04,--,--,--,53.37,--,--,0.93%,0.49,--,--,
2025-09-03,--,--,--,52.88,--,--,0.80%,0.42,--,--,
2025-09-02,--,--,--,52.46,--,--,-0.81%,-0.43,--,--,
2025-08-29,--,--,--,52.89,--,--,-1.21%,-0.65,--,--,
2025-08-28,--,--,--,53.54,--,--,0.56%,0.3,--,--,
2025-08-27,--,--,--,53.24,--,--,0.17%,0.09,--,--,
2025-08-26,--,--,--,53.15,--,--,0.42%,0.22,--,--,
2025-08-25,--,--,--,52.93,--,--,-0.32%,-0.17,--,--,
2025-08-22,--,--,--,53.1,--,--,1.53%,0.8,--,--,
2025-08-21,--,--,--,52.3,--,--,-0.46%,-0.24,--,--,
2025-08-20,--,--,--,52.54,--,--,-0.59%,-0.31,--,--,
2025-08-19,--,--,--,52.85,--,--,-1.38%,-0.74,--,--,
2025-08-18,--,--,--,53.59,--,--,-0.02%,-0.01,--,--,
2025-08-15,--,--,--,53.6,--,--,-0.50%,-0.27,--,--,
2025-08-14,--,--,--,53.87,--,--,-0.06%,-0.03,--,--,
2025-08-13,--,--,--,53.9,--,--,0.02%,0.01,--,--,
2025-08-12,--,--,--,53.89,--,--,1.34%,0.71,--,--,
2025-08-11,--,--,--,53.18,--,--,-0.38%,-0.2,--,--,
2025-08-08,--,--,--,53.38,--,--,0.95%,0.5,--,--,
2025-08-07,--,--,--,52.88,--,--,0.30%,0.16,--,--,
2025-08-06,--,--,--,52.72,--,--,1.27%,0.66,--,--,
2025-08-05,--,--,--,52.06,--,--,1.11%,0.57,--,--,
2025-08-01,--,--,--,51.49,--,--,-1.96%,-1.03,--,--,
2025-07-31,--,--,--,52.52,--,--,-0.53%,-0.28,--,--,
2025-07-30,--,--,--,52.8,--,--,0.15%,0.08,--,--,
2025-07-29,--,--,--,52.72,--,--,-0.21%,-0.11,--,--,
2025-07-28,--,--,--,52.83,--,--,0.36%,0.19,--,--,
2025-07-25,--,--,--,52.64,--,--,0.23%,0.12,--,--,
2025-07-24,--,--,--,52.52,--,--,0.25%,0.13,--,--,
2025-07-23,--,--,--,52.39,--,--,0.40%,0.21,--,--,
2025-07-22,--,--,--,52.18,--,--,-0.50%,-0.26,--,--,
2025-07-21,--,--,--,52.44,--,--,0.46%,0.24,--,--,
2025-07-18,--,--,--,52.2,--,--,-0.06%,-0.03,--,--,
2025-07-17,--,--,--,52.23,--,--,0.73%,0.38,--,--,
2025-07-16,--,--,--,51.85,--,--,0.10%,0.05,--,--,
2025-07-15,--,--,--,51.8,--,--,0.12%,0.06,--,--,
2025-07-14,--,--,--,51.74,--,--,0.31%,0.16,--,--,
2025-07-11,--,--,--,51.58,--,--,-0.21%,-0.11,--,--,
2025-07-10,--,--,--,51.69,--,--,-0.17%,-0.09,--,--,
2025-07-09,--,--,--,51.78,--,--,0.72%,0.37,--,--,
2025-07-08,--,--,--,51.41,--,--,0.08%,0.04,--,--,
2025-07-07,--,--,--,51.37,--,--,-0.81%,-0.42,--,--,
2025-07-04,--,--,--,51.79,--,--,-0.02%,-0.01,--,--,
2025-07-03,--,--,--,51.8,--,--,0.99%,0.51,--,--,
2025-07-02,--,--,--,51.29,--,--,-0.18%,-0.09,--,--,
2025-06-30,--,--,--,51.38,--,--,0.63%,0.32,--,--,
2025-06-27,--,--,--,51.06,--,--,0.39%,0.2,--,--,
2025-06-26,--,--,--,50.86,--,--,0.91%,0.46,--,--,
